sample,feature,value,label
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.498139688,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.00236264,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.691118694,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.331958273,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.347709557,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.264002113,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,1.07E-05,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.000237213,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.215666561,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,2.23E-07,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.773558727,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.25,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.054545675,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.067669022,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,3.58E-09,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.249071009,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.552738202,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.332881992,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.050600482,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.134182274,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,1.17E-14,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.898736752,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.289529212,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.03394615,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,3.22E-09,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.498666716,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.326009045,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.238772452,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.232100579,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,1.59E-09,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,8.71E-08,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.092788044,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,8.20E-15,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,3.79E-17,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.419962389,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.337135555,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.499042119,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.514465505,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.253710437,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,6.51E-22,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.360656355,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.095714004,Contaminated
PE1750-S1-R02_70_FFPE0260-S1-R03_15_NGS41-HG006-05_4_NGS41-HG006-S1_5_FFPE2110-S1P_6,smoothened_af,0.641634155,Contaminated
